代码,简称,日期,最高价(元),最低价(元),收盘价(元),成交量(股),涨跌幅(%),换手率(%),
301429.SZ,森泰股份,2023-04-17,41.73,32.1,33.05,18919396,14.9565,67.4814,
301429.SZ,森泰股份,2023-04-18,29.7,27.66,27.75,12879940,-16.0363,45.94,
301429.SZ,森泰股份,2023-04-19,26.95,25.78,25.82,9125765,-6.955,32.5496,
301429.SZ,森泰股份,2023-04-20,25.86,24.7,24.77,6309439,-4.0666,22.5044,
301429.SZ,森泰股份,2023-04-21,25.35,23.42,23.45,6027140,-5.329,21.4975,
301429.SZ,森泰股份,2023-04-24,23.3,22.38,22.63,4474943,-3.4968,15.9612,
301429.SZ,森泰股份,2023-04-25,22.63,21.65,21.72,4297872,-4.0212,15.3296,
301429.SZ,森泰股份,2023-04-26,22.24,21.63,21.91,3433260,0.8748,12.2457,
301429.SZ,森泰股份,2023-04-27,22.26,21.5,21.87,2895052,-0.1826,10.326,
301429.SZ,森泰股份,2023-04-28,22.46,22.03,22.2,3084088,1.5089,11.0003,
301429.SZ,森泰股份,2023-05-04,22.4,21.86,22.02,2456209,-0.8108,8.7608,
301429.SZ,森泰股份,2023-05-05,22.12,21.39,21.48,2360967,-2.4523,8.4211,
301429.SZ,森泰股份,2023-05-08,21.97,21.51,21.96,1987448,2.2346,7.0888,
301429.SZ,森泰股份,2023-05-09,22,21.34,21.35,2608524,-2.7778,9.304,
301429.SZ,森泰股份,2023-05-10,21.68,21.3,21.58,1435283,1.0773,5.1193,
301429.SZ,森泰股份,2023-05-11,21.77,21.48,21.65,1481681,0.3244,5.2848,
301429.SZ,森泰股份,2023-05-12,21.69,21.29,21.33,1722385,-1.4781,6.1434,
